settlement,district,county ,population,households,land km^2,density km^2,classification
Sheeptown ,"Newry, Mourne and Down ",County Down ,309,111,0.15,2027.01,Small village or hamlet 
Whiterock ,Ards and North Down ,County Down ,295,135,0.2,1450.06,Small village or hamlet 
Annahugh ,"Armagh, Banbridge and Craigavon ",County Armagh ,294,113,0.09,3205.89,Small village or hamlet 
Foreglen ,Causeway Coast and Glens ,County Londonderry ,293,100,0.16,1837.66,Small village or hamlet 
Loughgall ,"Armagh, Banbridge and Craigavon ",County Armagh ,288,128,0.22,1283.88,Small village or hamlet 
Brockagh / Mountjoy ,Mid Ulster ,County Tyrone ,287,97,0.29,973.23,Small village or hamlet 
Clabby ,Fermanagh and Omagh ,County Femanagh ,282,102,0.31,922.31,Small village or hamlet 
Middletown ,"Armagh, Banbridge and Craigavon ",County Armagh ,278,108,0.14,1937.97,Small village or hamlet 
Desertmartin ,Mid Ulster ,County Londonderry ,277,118,0.16,1756.74,Small village or hamlet 
Creagh ,Mid Ulster ,County Londonderry ,274,91,0.14,1895.76,Small village or hamlet 
Kilmore ,"Armagh, Banbridge and Craigavon ",County Armagh ,273,116,0.08,3228.76,Small village or hamlet 
Killylea ,"Armagh, Banbridge and Craigavon ",County Armagh ,272,120,0.14,1879.01,Small village or hamlet 
Annaghmore (Moss Road) ,"Armagh, Banbridge and Craigavon ",County Armagh ,272,106,0.1,2708.1,Small village or hamlet 
Balloo ,Ards and North Down ,County Down ,269,123,0.14,1892.47,Small village or hamlet 
Bryansford ,"Newry, Mourne and Down ",County Down ,269,112,0.19,1429.76,Small village or hamlet 
Killen ,Derry and Strabane ,County Tyrone ,266,109,0.23,1169.48,Small village or hamlet 
Gibson's Hill ,"Armagh, Banbridge and Craigavon ",County Armagh ,264,132,0.1,2748.57,Small village or hamlet 
Trillick ,Fermanagh and Omagh ,County Tyrone ,263,120,0.38,695.03,Small village or hamlet 
Burnfoot ,Causeway Coast and Glens ,County Londonderry ,263,99,0.12,2207.25,Small village or hamlet 
Rubane ,Ards and North Down ,County Down ,259,98,0.13,2023.55,Small village or hamlet 
Edendork ,Mid Ulster ,County Tyrone ,256,98,0.43,590.53,Small village or hamlet 
Plumbridge ,Derry and Strabane ,County Tyrone ,253,115,0.31,816.46,Small village or hamlet 
Artasooly ,"Armagh, Banbridge and Craigavon ",County Armagh ,253,79,0.16,1599.34,Small village or hamlet 
Darkley ,"Armagh, Banbridge and Craigavon ",County Armagh ,252,95,0.17,1498.24,Small village or hamlet 
Sixmilecross ,Fermanagh and Omagh ,County Tyrone ,251,133,0.44,574.21,Small village or hamlet 
Nixon's Corner ,Derry and Strabane ,County Londonderry ,251,92,0.05,5368.41,Small village or hamlet 
Artikelly ,Causeway Coast and Glens ,County Londonderry ,249,108,0.1,2461.31,Small village or hamlet 
Monea ,Fermanagh and Omagh ,County Fermanagh ,248,86,0.15,1677.96,Small village or hamlet 
Ballybarnes ,Ards and North Down ,County Down ,245,102,0.15,1680.03,Small village or hamlet 
Galbally ,Mid Ulster ,County Tyrone ,245,87,0.23,1076.73,Small village or hamlet 
Ballymaguigan ,Mid Ulster ,County Londonderry ,245,81,0.2,1229.09,Small village or hamlet 
The Loup ,Mid Ulster ,County Londonderry ,243,76,0.26,936.74,Small village or hamlet 
Bready ,Derry and Strabane ,County Tyrone ,242,81,0.15,1609.63,Small village or hamlet 
Ballyalton ,"Newry, Mourne and Down ",County Down ,242,71,0.06,3876.2,Small village or hamlet 
Roughfort ,Antrim and Newtownabbey ,County Antrim ,241,95,0.09,2549.92,Small village or hamlet 
Cullaville ,"Newry, Mourne and Down ",County Armagh ,240,94,0.12,2068.47,Small village or hamlet 
Hannahstown ,Belfast ,County Antrim ,237,92,0.1,2395.43,Small village or hamlet 
Glack ,Causeway Coast and Glens ,County Londonderry ,236,84,0.08,2872.27,Small village or hamlet 
Ballynakilly ,Mid Ulster ,County Tyrone ,235,97,0.21,1122.1,Small village or hamlet 
Creggan ,"Newry, Mourne and Down ",County Armagh ,234,111,0.1,2370.32,Small village or hamlet 
Derryadd ,"Armagh, Banbridge and Craigavon ",County Armagh ,234,84,0.22,1085.07,Small village or hamlet 
Moneyslane ,"Armagh, Banbridge and Craigavon ",County Down ,230,98,0.13,1803.15,Small village or hamlet 
Magheramorne ,Mid and East Antrim ,County Antrim ,228,88,0.09,2488.6,Small village or hamlet 
Killowen ,"Newry, Mourne and Down ",County Down ,225,84,0.16,1383.27,Small village or hamlet 
Waringsford ,"Armagh, Banbridge and Craigavon ",County Down ,224,84,0.07,3291.8,Small village or hamlet 
Lower Broomhedge ,Lisburn and Castlereagh ,County Antrim ,223,85,0.09,2428.99,Small village or hamlet 
Maghera ,"Newry, Mourne and Down ",County Down ,222,74,0.09,2536.33,Small village or hamlet 
Knocknacarry ,Causeway Coast and Glens ,County Antrim ,221,74,0.07,3217.31,Small village or hamlet 
Liscolman ,Causeway Coast and Glens ,County Antrim ,219,91,0.09,2323.38,Small village or hamlet 
Moneyneany ,Mid Ulster ,County Londonderry ,217,86,0.1,2219.66,Small village or hamlet 
Loughinisland ,"Newry, Mourne and Down ",County Down ,217,73,0.12,1786.29,Small village or hamlet 
Halftown ,Lisburn and Castlereagh ,County Antrim ,216,101,0.05,4725.2,Small village or hamlet 
Tamnaherin ,Derry and Strabane ,County Londonderry ,214,69,0.11,1970.05,Small village or hamlet 
Upper Ballinderry ,Lisburn and Castlereagh ,County Antrim ,213,95,0.12,1835.84,Small village or hamlet 
Glenullin ,Causeway Coast and Glens ,County Londonderry ,213,64,0.13,1653.28,Small village or hamlet 
Clogh ,Mid and East Antrim ,County Antrim ,212,96,0.11,1932.67,Small village or hamlet 
Dunnaval / Ballyardle ,"Newry, Mourne and Down ",County Down ,211,79,0.17,1231.36,Small village or hamlet 
Lislea ,"Newry, Mourne and Down ",County Armagh ,205,76,0.06,3524.65,Small village or hamlet 
Ardstraw ,Derry and Strabane ,County Tyrone ,204,84,0.2,1000.57,Small village or hamlet 
Kilclief ,"Newry, Mourne and Down ",County Down ,204,83,0.08,2564.93,Small village or hamlet 
Lisnarick ,Fermanagh and Omagh ,County Fermanagh ,203,98,0.27,751.12,Small village or hamlet 
Spamount ,Derry and Strabane ,County Tyrone ,202,97,0.3,665.47,Small village or hamlet 
Greencastle ,Fermanagh and Omagh ,County Tyrone ,202,85,0.27,748.46,Small village or hamlet 
Cotton ,Ards and North Down ,County Down ,201,89,0.07,2857.87,Small village or hamlet 
Knockcloghrim ,Mid Ulster ,County Londonderry ,199,82,0.14,1387.52,Small village or hamlet 
Kesh Bridge ,Lisburn and Castlereagh ,County Antrim ,197,70,0.07,2922.86,Small village or hamlet 
Dundrod ,Lisburn and Castlereagh ,County Antrim ,196,57,0.07,2900.61,Small village or hamlet 
Broomhill ,"Armagh, Banbridge and Craigavon ",County Armagh ,194,98,0.05,3535.75,Small village or hamlet 
Kilmore ,"Armagh, Banbridge and Craigavon ",County Armagh ,193,73,0.1,1969.55,Small village or hamlet 
Clonvaraghan ,"Newry, Mourne and Down ",County Down ,193,68,0.07,2860.08,Small village or hamlet 
Ballyskeagh ,Lisburn and Castlereagh ,County Down ,192,98,0.03,5537.57,Small village or hamlet 
Annaclone ,"Armagh, Banbridge and Craigavon ",County Down ,190,85,0.08,2235.48,Small village or hamlet 
Glen ,"Newry, Mourne and Down ",County Armagh ,190,72,0.08,2429.62,Small village or hamlet 
Leitrim ,"Newry, Mourne and Down ",County Down ,190,67,0.08,2493.89,Small village or hamlet 
Tullyhogue ,Mid Ulster ,County Tyrone ,189,80,0.12,1641.84,Small village or hamlet 
Edenaveys ,"Armagh, Banbridge and Craigavon ",County Armagh ,186,85,0.05,3623.14,Small village or hamlet 
Drumaroad ,"Newry, Mourne and Down ",County Down ,183,62,0.09,2080.96,Small village or hamlet 
Burrenbridge ,"Newry, Mourne and Down ",County Down ,182,78,0.07,2696.81,Small village or hamlet 
Loughries ,Ards and North Down ,County Down ,179,82,0.07,2496.61,Small village or hamlet 
Maghery ,"Armagh, Banbridge and Craigavon ",County Armagh ,177,73,0.27,648.96,Small village or hamlet 
Glenariff Bay ,Causeway Coast and Glens ,County Antrim ,177,68,0.13,1402.28,Small village or hamlet 
Ballynoe ,"Newry, Mourne and Down ",County Down ,177,62,0.13,1345.27,Small village or hamlet 
Glenmornan ,Derry and Strabane ,County Tyrone ,175,60,0.15,1154.19,Small village or hamlet 
Killea ,Derry and Strabane ,County Londonderry ,175,52,0.03,5580.17,Small village or hamlet 
Kilmood ,Ards and North Down ,County Down ,174,57,0.08,2277.3,Small village or hamlet 
Longstone ,"Newry, Mourne and Down ",County Down ,170,62,0.06,3013.25,Small village or hamlet 
Attical ,"Newry, Mourne and Down ",County Down ,168,66,0.12,1417.32,Small village or hamlet 
Glenoe ,Mid and East Antrim ,County Antrim ,167,68,0.07,2360.99,Small village or hamlet 
Glenanne (Lisdrumchor) ,"Armagh, Banbridge and Craigavon ",County Armagh ,167,66,0.08,1977.53,Small village or hamlet 
Finvoy ,Mid and East Antrim ,County Antrim ,166,52,0.12,1379.44,Small village or hamlet 
Glassdrumman ,"Newry, Mourne and Down ",County Armagh ,165,63,0.08,1969.17,Small village or hamlet 
Donagh ,Fermanagh and Omagh ,County Fermanagh ,164,70,0.31,536.14,Small village or hamlet 
