settlement,district,county ,population,households,land km^2,density km^2,classification
Belfast City[c],Belfast,"County Antrim
County Down",291386,126925,78.57,3708.53,'Band A - Belfast' 
Derry Urban Area[d] ,Derry and Strabane ,County Londonderry ,94376,,,,
Derry City,Derry and Strabane,County Londonderry,84884,35554,33.95,2500.49,'Band B - Derry City' 
Craigavon Urban Area including Aghacommon[e],"Armagh, Banbridge and Craigavon",County Armagh,72721,29331,37.73,1927.54,Large town 
Metropolitan Newtownabbey[c],Antrim and Newtownabbey,County Antrim,67112,28410,28.23,2377.4,Large town 
Bangor,Ards and North Down,County Down,64122,27859,19.56,3278.23,Large town 
Metropolitan Castlereagh[c],"Belfast
Lisburn and Castlereagh",County Down,59198,25467,17.92,3303.66,Large town 
Lisburn City,Lisburn and Castlereagh,"County Antrim
County Down",51447,21321,19.52,2635.82,Large town 
Metropolitan Lisburn[c],"Belfast
Lisburn and Castlereagh",County Antrim,32368,12696,9.01,3593.08,Large town 
Ballymena,Mid and East Antrim,County Antrim,31308,13287,16.57,1888.93,Large town 
Lurgan[f][5],"Armagh, Banbridge and Craigavon",County Armagh,30886,,,,"Part of Craigavon Urban Area, a large town "
Portadown[f][5],"Armagh, Banbridge and Craigavon",County Armagh,29772,,,,"Part of Craigavon Urban Area, a large town "
Newtownards,Ards and North Down,County Down,29591,12984,11.34,2610.32,Large town 
Newry,"Newry, Mourne and Down","County Armagh
County Down",28026,11065,14.06,1992.79,Large town 
Carrickfergus,Mid and East Antrim,County Antrim,27886,12132,12.24,2277.95,Large town 
Antrim,Antrim and Newtownabbey,County Antrim,25464,10766,13.05,1951.88,Large town 
Coleraine,Causeway Coast and Glens,County Londonderry,24560,10622,12.42,1977.26,Large town 
Omagh Town,Fermanagh and Omagh,County Tyrone,20353,8721,16.4,1241.22,Large town 
Larne,Mid and East Antrim,County Antrim,18794,8624,9.22,2039.29,Large town 
Banbridge,"Armagh, Banbridge and Craigavon",County Down,17248,7313,6.95,2480.05,Medium town 
Armagh,"Armagh, Banbridge and Craigavon",County Armagh,16438,6543,10.29,1597.25,Medium town 
Dungannon,Mid Ulster,County Tyrone,16361,6018,9.63,1698.37,Medium town 
Enniskillen,Fermanagh and Omagh,County Fermanagh,14120,6222,12.9,1094.61,Medium town 
Craigavon[f][5],"Armagh, Banbridge and Craigavon",County Armagh,13948,,,,"Part of Craigavon Urban Area, a large town "
Strabane,Derry and Strabane,County Tyrone,13456,5535,5.87,2290.41,Medium town 
Cookstown,Mid Ulster,County Tyrone,12549,5009,7.07,1773.72,Medium town 
Limavady,Causeway Coast and Glens,County Londonderry,11697,5084,4.56,2567.12,Medium town 
Downpatrick,"Newry, Mourne and Down",County Down,11541,4597,6.66,1733.48,Medium town 
Ballymoney,Causeway Coast and Glens,County Antrim,10903,4738,5.02,2172.57,Medium town 
Ballyclare,Antrim and Newtownabbey,County Antrim,10848,4612,4.95,2190.06,Medium town 
Holywood,Ards and North Down,County Down,10735,4657,6.31,1700.89,Medium town 
Magherafelt,Mid Ulster,County Londonderry,9647,3808,4.75,2031.08,Small town 
Comber,Ards and North Down,County Down,9512,4274,3.5,2717.73,Small town 
Warrenpoint / Burren,"Newry, Mourne and Down",County Down,8821,3504,3.57,2470.92,Small town 
Newcastle,"Newry, Mourne and Down",County Down,8293,3551,3.35,2475.72,Small town 
Portstewart,Causeway Coast and Glens,County Londonderry,7698,3425,3.11,2476.15,Small town 
Donaghadee,Ards and North Down,County Down,7320,3325,2.94,2490.07,Small town 
Carryduff,Lisburn and Castlereagh,County Down,7017,2745,2.81,2493.33,Small town 
Kilkeel,"Newry, Mourne and Down",County Down,6632,2699,3.1,2136.64,Small town 
Dromore,"Armagh, Banbridge and Craigavon",County Down,6492,2715,2.48,2615.98,Small town 
Greenisland,Mid and East Antrim,County Antrim,6383,2783,2.01,3181.35,Small town 
Ballynahinch,"Newry, Mourne and Down",County Down,6335,2688,3.67,1724.23,Small town 
Coalisland,Mid Ulster,County Tyrone,6323,2430,4,1581.32,Small town 
Portrush,Causeway Coast and Glens,"County Londonderry
County Antrim",6050,2815,2.57,2353.75,Small town 
Ballycastle,Causeway Coast and Glens,County Antrim,5628,2405,2.38,2365.8,Small town 
Crumlin,Antrim and Newtownabbey,County Antrim,5340,2005,1.28,4172.37,Small town 
Randalstown,Antrim and Newtownabbey,County Antrim,5156,2114,1.89,2729.39,Small town 
Moira,Lisburn and Castlereagh,County Down,4879,2074,1.71,2859.37,Intermediate settlement 
Maghera,Mid Ulster,County Londonderry,4222,1663,2.04,2071.6,Intermediate settlement 
Royal Hillsborough and Culcavy,Lisburn and Castlereagh,County Down,4160,1887,2.14,1944.83,Intermediate settlement 
Waringstown,"Armagh, Banbridge and Craigavon",County Down,3787,1500,1.31,2891.65,Intermediate settlement 
Culmore,Derry and Strabane,County Londonderry,3655,1232,1.61,2276.37,Intermediate settlement 
Saintfield,"Newry, Mourne and Down",County Down,3578,1510,1.43,2510.06,Intermediate settlement 
Eglinton,Derry and Strabane,County Londonderry,3550,1351,1.21,2927.46,Intermediate settlement 
Tandragee ,"Armagh, Banbridge and Craigavon ",County Armagh ,3543,1467,1.49,2383.46,Intermediate settlement 
Whitehead ,Mid and East Antrim ,County Antrim ,3537,1638,1.2,2954.48,Intermediate settlement 
Ahoghill ,Mid and East Antrim ,County Antrim ,3529,1453,0.94,3758.67,Intermediate settlement 
Dungiven ,Causeway Coast and Glens ,County Londonderry ,3346,1296,1.37,2442.1,Intermediate settlement 
Keady ,"Armagh, Banbridge and Craigavon ",County Armagh ,3327,1317,1.96,1701.64,Intermediate settlement 
Ballygowan ,Ards and North Down ,County Down ,3083,1228,0.8,3835.17,Intermediate settlement 
Broughshane ,Mid and East Antrim ,County Antrim ,3067,1370,1.15,2671.95,Intermediate settlement 
Lisnaskea ,Fermanagh and Omagh ,County Fermanagh ,3006,1263,2.82,1067.36,Intermediate settlement 
Bessbrook ,"Newry, Mourne and Down ",County Armagh ,3004,1167,1.08,2779.38,Intermediate settlement 
Castlederg ,Derry and Strabane ,County Tyrone ,2963,1292,1.83,1615.45,Intermediate settlement 
Maghaberry ,Lisburn and Castlereagh ,County Antrim ,2943,1066,0.64,4624.92,Intermediate settlement 
Newbuildings ,Derry and Strabane ,County Londonderry ,2829,1113,1.03,2736.53,Intermediate settlement 
Castlewellan ,"Newry, Mourne and Down ",County Down ,2822,1101,0.91,3099.43,Intermediate settlement 
Killyleagh ,"Newry, Mourne and Down ",County Down ,2785,1252,0.91,3063.23,Intermediate settlement 
Richhill ,"Armagh, Banbridge and Craigavon ",County Armagh ,2738,1131,1.03,2651.58,Intermediate settlement 
Rostrevor ,"Newry, Mourne and Down ",County Down ,2617,1082,1.07,2435.44,Intermediate settlement 
Cullybackey ,Mid and East Antrim ,County Antrim ,2614,1187,1.19,2191.91,Intermediate settlement 
Strathfoyle ,Derry and Strabane ,County Londonderry ,2605,998,0.59,4381.81,Intermediate settlement 
Millisle ,Ards and North Down ,County Down ,2553,1090,0.71,3609.85,Intermediate settlement 
Rathfriland ,"Armagh, Banbridge and Craigavon ",County Down ,2489,1037,0.83,2994.66,Village 
Glenavy ,Lisburn and Castlereagh ,County Antrim ,2384,809,0.65,3649.67,Village 
Portaferry ,Ards and North Down ,County Down ,2372,1023,0.93,2544.71,Village 
Castledawson ,Mid Ulster ,County Londonderry ,2345,905,0.87,2685.84,Village 
Irvinestown ,Fermanagh and Omagh ,County Fermanagh ,2320,1049,1.94,1197.31,Village 
Portavogie ,Ards and North Down ,County Down ,2269,893,0.92,2465.91,Village 
Dollingstown ,"Armagh, Banbridge and Craigavon ",County Down ,2250,873,0.76,2958.88,Village 
Moneymore ,Mid Ulster ,County Londonderry ,2141,834,1.08,1986,Village 
Kells / Connor ,Mid and East Antrim ,County Antrim ,2113,879,0.59,3596.4,Village 
Annalong ,"Newry, Mourne and Down ",County Down ,2037,825,0.82,2479.88,Village 
Magheralin ,"Armagh, Banbridge and Craigavon ",County Down ,2036,818,0.64,3160.86,Village 
Crossgar ,"Newry, Mourne and Down ",County Down ,2010,822,0.68,2945.27,Village 
Ballywalter ,Ards and North Down ,County Down ,2008,909,0.54,3750.41,Village 
Ballykelly ,Causeway Coast and Glens ,County Londonderry ,2004,797,0.83,2418.58,Village 
Donaghcloney ,"Armagh, Banbridge and Craigavon ",County Down ,1977,773,0.67,2936.32,Village 
Sion Mills ,Derry and Strabane ,County Tyrone ,1970,888,0.98,2010.73,Village 
Gilford ,"Armagh, Banbridge and Craigavon ",County Down ,1957,852,0.97,2010.47,Village 
Moy ,Mid Ulster ,County Tyrone ,1941,767,0.96,2032.42,Village 
Markethill ,"Armagh, Banbridge and Craigavon ",County Armagh ,1906,792,0.88,2159.36,Village 
Draperstown ,Mid Ulster ,County Londonderry ,1848,719,0.95,1950.48,Village 
Ardglass ,"Newry, Mourne and Down ",County Down ,1761,709,0.78,2257.63,Village 
Hilltown ,"Newry, Mourne and Down ",County Down ,1755,657,0.6,2933.17,Village 
Crossmaglen ,"Newry, Mourne and Down ",County Armagh ,1683,693,0.84,1992.52,Village 
Kilrea ,Causeway Coast and Glens ,County Antrim ,1676,688,0.82,2051.73,Village 
Milltown ,Lisburn and Castlereagh ,County Antrim ,1633,644,0.37,4465.34,Village 
Helen's Bay ,Ards and North Down ,County Down ,1547,616,0.75,2074.55,Village 
Templepatrick ,Antrim and Newtownabbey ,County Antrim ,1541,687,0.69,2235.21,Village 
Dundrum ,"Newry, Mourne and Down ",County Down ,1538,693,0.47,3291.04,Village 
Moneyreagh ,Lisburn and Castlereagh ,County Down ,1535,619,0.37,4136.61,Village 
